1,-0.054194347,30.170772,-0.48786617,-13
1,-0.054199858,78.444091,-1.2684257,-11
1,-0.054194843,90.512331,-1.463588,-11
1,-0.054186329,101.97751,-1.6486181,0
1,-0.054208197,135.76627,-2.1951057,12
1,-0.054205074,171.97006,-2.7808815,13
1,-0.054203596,184.04182,-2.9760768,13
1,-0.054199122,103.54608,-1.6744215,-23
1,-0.054199119,103.54609,-1.6744215,-22
1,-0.054199125,103.54608,-1.6744215,-21
1,-0.054199123,103.54609,-1.6744215,0
1,-0.054199128,103.54609,-1.6744215,22
1,-0.054199122,103.54608,-1.6744215,23
1,-0.054199126,103.54608,-1.6744215,23
1,-0.054212681,103.54644,-1.6741625,-33
1,-0.054205921,103.54607,-1.6744582,-32
1,-0.05420076,103.54604,-1.6744512,-31
1,-0.05419936,103.54608,-1.6744266,0
1,-0.054191512,103.54609,-1.6743418,31
1,-0.053639843,103.55148,-1.6741797,33
1,-0.054165518,103.54582,-1.6743189,33
1,-0.057136288,103.54519,-1.6340049,-42
1,-0.056611582,103.55675,-1.6483068,-41
1,-0.054649475,103.52117,-1.6675874,-41
1,-0.05137928,103.5364,-1.6737804,0
1,-0.051108501,103.5278,-1.6790762,41
1,-0.05628485,103.55518,-1.6835314,42
1,-0.052129827,103.53238,-1.6967245,43
1,-0.051932614,109.64401,-2.2790377,-53
1,-0.05245588,108.64843,-2.106414,-53
1,-0.052176781,107.25154,-1.9416269,-52
1,-0.053865808,103.66701,-1.6821311,0
1,-0.051424479,98.281892,-1.4291229,52
1,-0.056083872,92.131124,-1.2330153,53
1,-0.056661496,82.36962,-0.99262141,53
1,-0.053210054,116.05488,-1.7803927,-63
1,-0.053870821,110.42206,-1.7327376,-62
1,-0.054217793,103.22267,-1.6716543,0
1,-0.054468606,98.844878,-1.6339531,61
1,-0.053450845,93.111654,-1.5849285,63
1,-0.055194245,85.532876,-1.5180903,63
1,-0.05633982,78.957909,-1.4585773,63
